 ,Mean,Ch,microns
533,652.642,533,532
534,651.868,534,533
535,651.013,535,534
536,653.065,536,535
537,660.885,537,536
538,662.431,538,537
539,661.240,539,538
540,662.036,540,539
541,663.113,541,540
542,661.448,542,541
543,663.990,543,542
544,665.319,544,543
545,667.033,545,544
546,665.869,546,545
547,666.346,547,546
548,664.790,548,547
549,664.134,549,548
550,666.799,550,549
551,668.054,551,550
552,668.874,552,551
553,668.297,553,552
554,668.697,554,553
555,669.611,555,554
556,673.831,556,555
557,670.187,557,556
558,665.181,558,557
559,665.130,559,558
560,665.263,560,559
561,663.515,561,560
562,666.369,562,561
563,668.441,563,562
564,667.972,564,563
565,669.034,565,564
566,673.498,566,565
567,673.642,567,566
568,672.625,568,567
569,668.774,569,568
570,664.371,570,569
571,665.440,571,570
572,663.028,572,571
573,662.942,573,572
574,666.526,574,573
575,667.940,575,574
576,666.346,576,575
577,665.105,577,576
578,664.777,578,577
579,665.085,579,578
580,664.514,580,579
581,663.750,581,580
582,660.463,582,581
583,660.425,583,582
584,659.156,584,583
585,658.691,585,584
586,659.803,586,585
587,656.600,587,586
588,656.153,588,587
589,661.615,589,588
590,666.290,590,589
591,669.204,591,590
592,668.748,592,591
593,665.835,593,592
594,661.881,594,593
595,659.847,595,594
596,656.405,596,595
597,655.195,597,596
598,653.852,598,597
599,655.377,599,598
600,653.174,600,599
