 ,Mean1,X1,Y1
128,559.333,234.833,150.343
129,559.744,234.833,150.343
130,567.318,234.833,150.343
131,567.262,234.833,150.343
132,572.015,234.833,150.343
133,589.236,234.833,150.343
134,566.656,234.833,150.343
135,570.380,234.833,150.343
136,563.508,234.833,150.343
137,567.262,234.833,150.343
138,554.497,234.833,150.343
139,562.303,234.833,150.343
140,571.708,234.833,150.343
141,574.390,234.833,150.343
142,566.938,234.833,150.343
143,549.779,234.833,150.343
144,555.544,234.833,150.343
145,564.841,234.833,150.343
146,571.508,234.833,150.343
147,583.395,234.833,150.343
148,556.205,234.833,150.343
149,557.708,234.833,150.343
150,594.913,234.833,150.343
151,602.513,234.833,150.343
152,585.826,234.833,150.343
153,598.031,234.833,150.343
154,586.087,234.833,150.343
155,597.620,234.833,150.343
156,585.056,234.833,150.343
157,594.374,234.833,150.343
158,584.338,234.833,150.343
159,586.892,234.833,150.343
160,569.913,234.833,150.343
161,564.985,234.833,150.343
162,596.790,234.833,150.343
163,598.195,234.833,150.343
164,565.426,234.833,150.343
165,563.472,234.833,150.343
166,552.144,234.833,150.343
167,556.369,234.833,150.343
168,562.041,234.833,150.343
169,587.564,234.833,150.343
170,582.759,234.833,150.343
171,588.010,234.833,150.343
172,574.364,234.833,150.343
173,588.118,234.833,150.343
174,578.395,234.833,150.343
175,589.887,234.833,150.343
176,588.641,234.833,150.343
177,577.564,234.833,150.343
178,592.503,234.833,150.343
179,569.810,234.833,150.343
180,596.123,234.833,150.343
181,597.928,234.833,150.343
182,609.723,234.833,150.343
183,584.933,234.833,150.343
184,586.123,234.833,150.343
185,578.426,234.833,150.343
186,584.703,234.833,150.343
187,604.267,234.833,150.343
188,586.262,234.833,150.343
189,571.708,234.833,150.343
190,564.477,234.833,150.343
191,563.472,234.833,150.343
192,564.646,234.833,150.343
193,558.231,234.833,150.343
194,578.369,234.833,150.343
195,584.636,234.833,150.343
196,582.169,234.833,150.343
197,556.949,234.833,150.343
198,572.862,234.833,150.343
199,580.021,234.833,150.343
200,571.795,234.833,150.343
201,576.036,234.833,150.343
202,585.641,234.833,150.343
203,573.949,234.833,150.343
204,582.210,234.833,150.343
205,569.944,234.833,150.343
206,563.759,234.833,150.343
207,593.723,234.833,150.343
208,595.205,234.833,150.343
209,576.297,234.833,150.343
210,566.636,234.833,150.343
211,583.036,234.833,150.343
212,583.923,234.833,150.343
213,564.251,234.833,150.343
214,558.908,234.833,150.343
215,573.344,234.833,150.343
216,563.390,234.833,150.343
217,562.944,234.833,150.343
218,565.974,234.833,150.343
219,604.918,234.833,150.343
220,597.221,234.833,150.343
221,592.082,234.833,150.343
222,577.549,234.833,150.343
223,593.169,234.833,150.343
224,603.887,234.833,150.343
225,586.015,234.833,150.343
226,604.015,234.833,150.343
227,605.831,234.833,150.343
228,582.062,234.833,150.343
229,586.672,234.833,150.343
230,582.636,234.833,150.343
231,584.713,234.833,150.343
232,589.149,234.833,150.343
233,602.651,234.833,150.343
234,602.431,234.833,150.343
235,589.374,234.833,150.343
236,602.579,234.833,150.343
237,571.923,234.833,150.343
238,596.908,234.833,150.343
239,598.195,234.833,150.343
240,619.559,234.833,150.343
241,606.338,234.833,150.343
242,617.133,234.833,150.343
243,622.579,234.833,150.343
244,601.021,234.833,150.343
245,610.559,234.833,150.343
246,640.667,234.833,150.343
247,585.436,234.833,150.343
248,583.354,234.833,150.343
249,607.800,234.833,150.343
250,571.159,234.833,150.343
251,562.426,234.833,150.343
252,567.600,234.833,150.343
253,600.303,234.833,150.343
254,597.610,234.833,150.343
255,609.159,234.833,150.343
256,628.820,234.833,150.343
257,614.451,234.833,150.343
258,604.533,234.833,150.343
259,591.810,234.833,150.343
260,581.620,234.833,150.343
261,580.446,234.833,150.343
262,582.718,234.833,150.343
263,596.005,234.833,150.343
264,610.887,234.833,150.343
265,588.574,234.833,150.343
266,558.231,234.833,150.343
267,576.913,234.833,150.343
268,580.564,234.833,150.343
269,597.318,234.833,150.343
270,579.036,234.833,150.343
271,593.154,234.833,150.343
272,611.605,234.833,150.343
273,575.133,234.833,150.343
274,581.451,234.833,150.343
275,539.918,234.833,150.343
276,592.036,234.833,150.343
277,599.026,234.833,150.343
278,591.626,234.833,150.343
279,599.010,234.833,150.343
280,607.944,234.833,150.343
281,600.369,234.833,150.343
282,591.236,234.833,150.343
283,576.544,234.833,150.343
284,584.395,234.833,150.343
285,558.867,234.833,150.343
286,580.508,234.833,150.343
287,577.990,234.833,150.343
288,579.123,234.833,150.343
289,581.615,234.833,150.343
290,551.108,234.833,150.343
291,555.077,234.833,150.343
292,556.708,234.833,150.343
293,574.887,234.833,150.343
294,566.405,234.833,150.343
295,581.195,234.833,150.343
296,566.005,234.833,150.343
297,553.015,234.833,150.343
298,545.005,234.833,150.343
299,569.636,234.833,150.343
300,570.913,234.833,150.343
301,586.180,234.833,150.343
302,577.697,234.833,150.343
303,572.815,234.833,150.343
304,581.205,234.833,150.343
305,564.159,234.833,150.343
306,580.190,234.833,150.343
307,561.718,234.833,150.343
308,565.159,234.833,150.343
309,558.759,234.833,150.343
310,565.395,234.833,150.343
311,568.036,234.833,150.343
312,556.574,234.833,150.343
313,575.154,234.833,150.343
314,535.656,234.833,150.343
315,551.005,234.833,150.343
316,563.738,234.833,150.343
317,565.641,234.833,150.343
318,580.277,234.833,150.343
319,576.482,234.833,150.343
320,586.892,234.833,150.343
321,561.882,234.833,150.343
322,573.154,234.833,150.343
323,559.610,234.833,150.343
324,558.815,234.833,150.343
325,573.056,234.833,150.343
326,565.092,234.833,150.343
327,550.728,234.833,150.343
328,570.779,234.833,150.343
329,552.995,234.833,150.343
330,563.954,234.833,150.343
331,569.656,234.833,150.343
332,550.133,234.833,150.343
333,570.646,234.833,150.343
334,544.431,234.833,150.343
335,577.949,234.833,150.343
336,556.774,234.833,150.343
337,588.251,234.833,150.343
338,564.190,234.833,150.343
339,595.836,234.833,150.343
340,597.482,234.833,150.343
341,589.538,234.833,150.343
342,572.662,234.833,150.343
343,580.631,234.833,150.343
344,570.400,234.833,150.343
345,590.708,234.833,150.343
346,570.728,234.833,150.343
347,558.897,234.833,150.343
348,581.646,234.833,150.343
349,574.949,234.833,150.343
350,567.436,234.833,150.343
351,569.749,234.833,150.343
352,538.410,234.833,150.343
353,544.154,234.833,150.343
354,555.754,234.833,150.343
355,550.451,234.833,150.343
356,573.451,234.833,150.343
357,580.615,234.833,150.343
358,596.851,234.833,150.343
359,550.933,234.833,150.343
360,570.759,234.833,150.343
361,584.620,234.833,150.343
362,552.236,234.833,150.343
363,563.738,234.833,150.343
364,576.297,234.833,150.343
365,570.026,234.833,150.343
366,565.503,234.833,150.343
367,572.272,234.833,150.343
368,570.369,234.833,150.343
369,580.564,234.833,150.343
370,548.733,234.833,150.343
371,549.149,234.833,150.343
372,580.667,234.833,150.343
373,579.221,234.833,150.343
374,570.036,234.833,150.343
375,561.959,234.833,150.343
376,545.795,234.833,150.343
377,556.051,234.833,150.343
378,564.590,234.833,150.343
379,597.856,234.833,150.343
380,578.995,234.833,150.343
381,570.180,234.833,150.343
382,603.236,234.833,150.343
383,572.738,234.833,150.343
384,575.405,234.833,150.343
385,565.036,234.833,150.343
386,583.738,234.833,150.343
387,570.021,234.833,150.343
388,572.687,234.833,150.343
389,581.056,234.833,150.343
390,577.749,234.833,150.343
391,557.097,234.833,150.343
392,561.215,234.833,150.343
393,541.118,234.833,150.343
394,565.615,234.833,150.343
395,549.097,234.833,150.343
396,550.497,234.833,150.343
397,535.318,234.833,150.343
398,572.779,234.833,150.343
399,566.969,234.833,150.343
400,565.820,234.833,150.343
401,557.615,234.833,150.343
402,554.031,234.833,150.343
403,565.738,234.833,150.343
404,556.472,234.833,150.343
405,573.031,234.833,150.343
406,562.918,234.833,150.343
407,540.918,234.833,150.343
408,556.533,234.833,150.343
409,538.323,234.833,150.343
410,547.897,234.833,150.343
411,530.318,234.833,150.343
412,565.113,234.833,150.343
413,556.374,234.833,150.343
414,565.205,234.833,150.343
415,546.667,234.833,150.343
416,565.318,234.833,150.343
417,551.395,234.833,150.343
418,542.544,234.833,150.343
419,556.369,234.833,150.343
420,558.385,234.833,150.343
421,549.036,234.833,150.343
422,569.108,234.833,150.343
423,541.774,234.833,150.343
424,557.262,234.833,150.343
425,542.108,234.833,150.343
426,541.938,234.833,150.343
427,567.867,234.833,150.343
428,555.790,234.833,150.343
429,566.795,234.833,150.343
430,537.692,234.833,150.343
431,533.697,234.833,150.343
432,547.267,234.833,150.343
433,552.487,234.833,150.343
434,558.518,234.833,150.343
435,553.513,234.833,150.343
436,568.831,234.833,150.343
437,543.759,234.833,150.343
438,565.790,234.833,150.343
439,550.718,234.833,150.343
440,580.862,234.833,150.343
441,564.831,234.833,150.343
442,565.985,234.833,150.343
443,565.903,234.833,150.343
444,567.708,234.833,150.343
445,551.000,234.833,150.343
446,574.564,234.833,150.343
447,557.549,234.833,150.343
448,570.205,234.833,150.343
449,545.605,234.833,150.343
450,566.328,234.833,150.343
451,557.651,234.833,150.343
452,547.092,234.833,150.343
