 ,Area,Mean,Slice,microns
115,143139.336,442.004,115,114
116,143139.336,443.344,116,115
117,143139.336,444.321,117,116
118,143139.336,446.115,118,117
119,143139.336,444.818,119,118
120,143139.336,442.845,120,119
121,143139.336,440.642,121,120
122,143139.336,442.541,122,121
123,143139.336,441.814,123,122
124,143139.336,441.155,124,123
125,143139.336,441.957,125,124
126,143139.336,441.065,126,125
127,143139.336,442.183,127,126
128,143139.336,442.046,128,127
129,143139.336,440.695,129,128
130,143139.336,441.308,130,129
131,143139.336,440.342,131,130
132,143139.336,439.690,132,131
133,143139.336,439.322,133,132
134,143139.336,436.307,134,133
135,143139.336,434.784,135,134
136,143139.336,433.117,136,135
137,143139.336,433.280,137,136
138,143139.336,433.516,138,137
139,143139.336,433.210,139,138
140,143139.336,431.679,140,139
141,143139.336,430.405,141,140
142,143139.336,429.554,142,141
143,143139.336,426.564,143,142
144,143139.336,424.834,144,143
145,143139.336,422.830,145,144
146,143139.336,424.401,146,145
147,143139.336,424.129,147,146
148,143139.336,422.065,148,147
149,143139.336,426.488,149,148
150,143139.336,425.597,150,149
151,143139.336,424.052,151,150
152,143139.336,425.919,152,151
153,143139.336,426.280,153,152
154,143139.336,424.513,154,153
155,143139.336,424.692,155,154
156,143139.336,425.569,156,155
157,143139.336,425.479,157,156
158,143139.336,424.477,158,157
159,143139.336,425.772,159,158
160,143139.336,422.986,160,159
161,143139.336,425.414,161,160
162,143139.336,431.546,162,161
163,143139.336,440.975,163,162
164,143139.336,444.455,164,163
165,143139.336,441.250,165,164
166,143139.336,439.122,166,165
167,143139.336,439.794,167,166
168,143139.336,437.445,168,167
169,143139.336,437.932,169,168
170,143139.336,438.129,170,169
171,143139.336,438.034,171,170
172,143139.336,438.581,172,171
173,143139.336,440.563,173,172
174,143139.336,440.615,174,173
175,143139.336,441.609,175,174
176,143139.336,441.238,176,175
177,143139.336,442.000,177,176
178,143139.336,441.981,178,177
179,143139.336,442.496,179,178
180,143139.336,443.245,180,179
181,143139.336,445.414,181,180
182,143139.336,446.617,182,181
183,143139.336,447.570,183,182
184,143139.336,446.547,184,183
185,143139.336,448.217,185,184
186,143139.336,446.735,186,185
187,143139.336,445.813,187,186
188,143139.336,443.889,188,187
189,143139.336,441.722,189,188
190,143139.336,442.356,190,189
191,143139.336,442.896,191,190
192,143139.336,440.989,192,191
193,143139.336,447.667,193,192
194,143139.336,445.394,194,193
195,143139.336,445.702,195,194
196,143139.336,443.930,196,195
197,143139.336,449.863,197,196
198,143139.336,448.424,198,197
199,143139.336,450.409,199,198
200,143139.336,450.972,200,199
201,143139.336,449.464,201,200
202,143139.336,450.183,202,201
203,143139.336,452.011,203,202
204,143139.336,453.241,204,203
205,143139.336,455.966,205,204
206,143139.336,458.101,206,205
207,143139.336,459.051,207,206
208,143139.336,460.247,208,207
209,143139.336,460.462,209,208
210,143139.336,461.442,210,209
211,143139.336,462.869,211,210
212,143139.336,461.289,212,211
213,143139.336,463.895,213,212
214,143139.336,463.327,214,213
215,143139.336,465.751,215,214
216,143139.336,466.370,216,215
217,143139.336,467.812,217,216
218,143139.336,467.444,218,217
219,143139.336,468.686,219,218
220,143139.336,468.513,220,219
221,143139.336,462.904,221,220
222,143139.336,463.460,222,221
223,143139.336,463.664,223,222
224,143139.336,462.373,224,223
225,143139.336,460.889,225,224
226,143139.336,458.935,226,225
227,143139.336,457.149,227,226
228,143139.336,453.859,228,227
229,143139.336,452.680,229,228
230,143139.336,452.121,230,229
231,143139.336,449.782,231,230
232,143139.336,450.364,232,231
233,143139.336,452.083,233,232
234,143139.336,451.721,234,233
235,143139.336,450.479,235,234
236,143139.336,451.368,236,235
237,143139.336,449.637,237,236
238,143139.336,449.728,238,237
239,143139.336,449.995,239,238
240,143139.336,452.172,240,239
241,143139.336,450.771,241,240
242,143139.336,451.332,242,241
243,143139.336,454.300,243,242
244,143139.336,458.406,244,243
245,143139.336,461.795,245,244
246,143139.336,462.603,246,245
247,143139.336,464.846,247,246
248,143139.336,465.834,248,247
249,143139.336,468.829,249,248
250,143139.336,469.748,250,249
251,143139.336,468.536,251,250
252,143139.336,468.339,252,251
253,143139.336,466.540,253,252
254,143139.336,466.480,254,253
255,143139.336,467.595,255,254
256,143139.336,466.204,256,255
257,143139.336,464.726,257,256
258,143139.336,468.491,258,257
259,143139.336,468.016,259,258
260,143139.336,466.668,260,259
261,143139.336,467.612,261,260
262,143139.336,468.353,262,261
263,143139.336,469.284,263,262
264,143139.336,468.423,264,263
265,143139.336,469.895,265,264
266,143139.336,468.545,266,265
267,143139.336,468.412,267,266
268,143139.336,468.198,268,267
269,143139.336,467.806,269,268
270,143139.336,468.345,270,269
271,143139.336,467.426,271,270
272,143139.336,467.936,272,271
273,143139.336,470.798,273,272
274,143139.336,468.501,274,273
275,143139.336,468.185,275,274
276,143139.336,468.067,276,275
277,143139.336,469.724,277,276
278,143139.336,470.260,278,277
279,143139.336,469.470,279,278
280,143139.336,469.164,280,279
281,143139.336,468.848,281,280
282,143139.336,470.541,282,281
283,143139.336,470.948,283,282
284,143139.336,470.530,284,283
285,143139.336,470.836,285,284
286,143139.336,469.399,286,285
287,143139.336,470.524,287,286
288,143139.336,469.052,288,287
289,143139.336,468.892,289,288
290,143139.336,468.566,290,289
291,143139.336,465.680,291,290
292,143139.336,462.842,292,291
293,143139.336,456.718,293,292
294,143139.336,452.693,294,293
295,143139.336,454.131,295,294
296,143139.336,454.842,296,295
297,143139.336,452.821,297,296
298,143139.336,458.593,298,297
299,143139.336,461.925,299,298
