 ,Area,Mean,Slice,microns
492,143139.336,464.421,492,491
493,143139.336,464.645,493,492
494,143139.336,464.945,494,493
495,143139.336,465.037,495,494
496,143139.336,464.148,496,495
497,143139.336,466.005,497,496
498,143139.336,467.542,498,497
499,143139.336,467.901,499,498
500,143139.336,466.650,500,499
501,143139.336,465.450,501,500
